Date,topic,retweets,valence,count
2008-10-03,cannabis,TRUE,Neutral,0
2008-10-04,cannabis,TRUE,Neutral,0
2008-10-05,cannabis,TRUE,Neutral,0
2008-10-06,cannabis,TRUE,Neutral,0
2008-10-07,cannabis,TRUE,Neutral,0
2008-10-08,cannabis,TRUE,Neutral,0
2008-10-09,cannabis,TRUE,Neutral,0
2008-10-10,cannabis,TRUE,Neutral,0
2008-10-11,cannabis,TRUE,Neutral,0
2008-10-12,cannabis,TRUE,Neutral,0
2008-10-13,cannabis,TRUE,Neutral,0
2008-10-14,cannabis,TRUE,Neutral,0
2008-10-15,cannabis,TRUE,Neutral,0
2008-10-16,cannabis,TRUE,Neutral,0
2008-10-17,cannabis,TRUE,Neutral,0
2008-10-18,cannabis,TRUE,Neutral,0
2008-10-19,cannabis,TRUE,Neutral,0
2008-10-20,cannabis,TRUE,Neutral,0
2008-10-21,cannabis,TRUE,Neutral,0
2008-10-22,cannabis,TRUE,Neutral,0
2008-10-23,cannabis,TRUE,Neutral,0
2008-10-24,cannabis,TRUE,Neutral,0
2008-10-25,cannabis,TRUE,Neutral,0
2008-10-26,cannabis,TRUE,Neutral,0
2008-10-27,cannabis,TRUE,Neutral,0
2008-10-28,cannabis,TRUE,Neutral,0
2008-10-29,cannabis,TRUE,Neutral,0
2008-10-30,cannabis,TRUE,Neutral,0
2008-10-31,cannabis,TRUE,Neutral,0
2008-11-01,cannabis,TRUE,Neutral,0
2008-11-02,cannabis,TRUE,Neutral,0
2008-11-03,cannabis,TRUE,Neutral,0
2008-11-04,cannabis,TRUE,Neutral,0
2008-11-05,cannabis,TRUE,Neutral,0
2008-11-06,cannabis,TRUE,Neutral,0
2008-11-07,cannabis,TRUE,Neutral,0
2008-11-08,cannabis,TRUE,Neutral,0
2008-11-09,cannabis,TRUE,Neutral,0
2008-11-10,cannabis,TRUE,Neutral,0
2008-11-11,cannabis,TRUE,Neutral,0
2008-11-12,cannabis,TRUE,Neutral,0
2008-11-13,cannabis,TRUE,Neutral,0
2008-11-14,cannabis,TRUE,Neutral,0
2008-11-15,cannabis,TRUE,Neutral,0
2008-11-16,cannabis,TRUE,Neutral,0
2008-11-17,cannabis,TRUE,Neutral,0
2008-11-18,cannabis,TRUE,Neutral,0
2008-11-19,cannabis,TRUE,Neutral,0
2008-11-20,cannabis,TRUE,Neutral,0
2008-11-21,cannabis,TRUE,Neutral,0
2008-11-22,cannabis,TRUE,Neutral,0
2008-11-23,cannabis,TRUE,Neutral,0
2008-11-24,cannabis,TRUE,Neutral,0
2008-11-25,cannabis,TRUE,Neutral,0
2008-11-26,cannabis,TRUE,Neutral,0
2008-11-27,cannabis,TRUE,Neutral,0
2008-11-28,cannabis,TRUE,Neutral,0
2008-11-29,cannabis,TRUE,Neutral,0
2008-11-30,cannabis,TRUE,Neutral,0
2008-12-01,cannabis,TRUE,Neutral,0
2008-12-02,cannabis,TRUE,Neutral,0
2008-12-03,cannabis,TRUE,Neutral,0
2008-12-04,cannabis,TRUE,Neutral,0
2008-12-05,cannabis,TRUE,Neutral,0
2008-12-06,cannabis,TRUE,Neutral,0
2008-12-07,cannabis,TRUE,Neutral,0
2008-12-08,cannabis,TRUE,Neutral,0
2008-12-09,cannabis,TRUE,Neutral,0
2008-12-10,cannabis,TRUE,Neutral,0
2008-12-11,cannabis,TRUE,Neutral,0
2008-12-12,cannabis,TRUE,Neutral,0
2008-12-13,cannabis,TRUE,Neutral,0
2008-12-14,cannabis,TRUE,Neutral,0
2008-12-15,cannabis,TRUE,Neutral,0
2008-12-16,cannabis,TRUE,Neutral,0
2008-12-17,cannabis,TRUE,Neutral,0
2008-12-18,cannabis,TRUE,Neutral,0
2008-12-19,cannabis,TRUE,Neutral,0
2008-12-20,cannabis,TRUE,Neutral,0
2008-12-21,cannabis,TRUE,Neutral,0
2008-12-22,cannabis,TRUE,Neutral,0
2008-12-23,cannabis,TRUE,Neutral,0
2008-12-24,cannabis,TRUE,Neutral,0
2008-12-25,cannabis,TRUE,Neutral,0
2008-12-26,cannabis,TRUE,Neutral,0
2008-12-27,cannabis,TRUE,Neutral,0
2008-12-28,cannabis,TRUE,Neutral,0
2008-12-29,cannabis,TRUE,Neutral,0
2008-12-30,cannabis,TRUE,Neutral,0
2008-12-31,cannabis,TRUE,Neutral,0
2009-01-01,cannabis,TRUE,Neutral,0
2009-01-02,cannabis,TRUE,Neutral,0
2009-01-03,cannabis,TRUE,Neutral,0
2009-01-04,cannabis,TRUE,Neutral,0
2009-01-05,cannabis,TRUE,Neutral,0
2009-01-06,cannabis,TRUE,Neutral,0
2009-01-07,cannabis,TRUE,Neutral,0
2009-01-08,cannabis,TRUE,Neutral,0
2009-01-09,cannabis,TRUE,Neutral,0
2009-01-10,cannabis,TRUE,Neutral,0
2009-01-11,cannabis,TRUE,Neutral,0
2009-01-12,cannabis,TRUE,Neutral,0
2009-01-13,cannabis,TRUE,Neutral,0
2009-01-14,cannabis,TRUE,Neutral,0
2009-01-15,cannabis,TRUE,Neutral,0
2009-01-16,cannabis,TRUE,Neutral,0
2009-01-17,cannabis,TRUE,Neutral,0
2009-01-18,cannabis,TRUE,Neutral,0
2009-01-19,cannabis,TRUE,Neutral,0
2009-01-20,cannabis,TRUE,Neutral,0
2009-01-21,cannabis,TRUE,Neutral,0
2009-01-22,cannabis,TRUE,Neutral,0
2009-01-23,cannabis,TRUE,Neutral,0
2009-01-24,cannabis,TRUE,Neutral,0
2009-01-25,cannabis,TRUE,Neutral,0
2009-01-26,cannabis,TRUE,Neutral,0
2009-01-27,cannabis,TRUE,Neutral,0
2009-01-28,cannabis,TRUE,Neutral,0
2009-01-29,cannabis,TRUE,Neutral,0
2009-01-30,cannabis,TRUE,Neutral,0
2009-01-31,cannabis,TRUE,Neutral,0
2009-02-01,cannabis,TRUE,Neutral,0
2009-02-02,cannabis,TRUE,Neutral,0
2009-02-03,cannabis,TRUE,Neutral,0
2009-02-04,cannabis,TRUE,Neutral,0
2009-02-05,cannabis,TRUE,Neutral,0
2009-02-06,cannabis,TRUE,Neutral,0
2009-02-07,cannabis,TRUE,Neutral,0
2009-02-08,cannabis,TRUE,Neutral,0
2009-02-09,cannabis,TRUE,Neutral,0
2009-02-10,cannabis,TRUE,Neutral,0
2009-02-11,cannabis,TRUE,Neutral,0
2009-02-12,cannabis,TRUE,Neutral,0
2009-02-13,cannabis,TRUE,Neutral,0
2009-02-14,cannabis,TRUE,Neutral,0
2009-02-15,cannabis,TRUE,Neutral,0
2009-02-16,cannabis,TRUE,Neutral,0
2009-02-17,cannabis,TRUE,Neutral,0
2009-02-18,cannabis,TRUE,Neutral,0
2009-02-19,cannabis,TRUE,Neutral,0
2009-02-20,cannabis,TRUE,Neutral,0
2009-02-21,cannabis,TRUE,Neutral,0
2009-02-22,cannabis,TRUE,Neutral,0
2009-02-23,cannabis,TRUE,Neutral,0
2009-02-24,cannabis,TRUE,Neutral,0
2009-02-25,cannabis,TRUE,Neutral,0
2009-02-26,cannabis,TRUE,Neutral,0
2009-02-27,cannabis,TRUE,Neutral,0
2009-02-28,cannabis,TRUE,Neutral,0
2009-03-01,cannabis,TRUE,Neutral,0
2009-03-02,cannabis,TRUE,Neutral,0
2009-03-03,cannabis,TRUE,Neutral,0
2009-03-04,cannabis,TRUE,Neutral,0
2009-03-05,cannabis,TRUE,Neutral,0
2009-03-06,cannabis,TRUE,Neutral,0
2009-03-07,cannabis,TRUE,Neutral,0
2009-03-08,cannabis,TRUE,Neutral,0
2009-03-09,cannabis,TRUE,Neutral,0
2009-03-10,cannabis,TRUE,Neutral,0
2009-03-11,cannabis,TRUE,Neutral,0
2009-03-12,cannabis,TRUE,Neutral,0
2009-03-13,cannabis,TRUE,Neutral,0
2009-03-14,cannabis,TRUE,Neutral,0
2009-03-15,cannabis,TRUE,Neutral,0
2009-03-16,cannabis,TRUE,Neutral,0
2009-03-17,cannabis,TRUE,Neutral,0
2009-03-18,cannabis,TRUE,Neutral,0
2009-03-19,cannabis,TRUE,Neutral,0
2009-03-20,cannabis,TRUE,Neutral,0
2009-03-21,cannabis,TRUE,Neutral,0
2009-03-22,cannabis,TRUE,Neutral,0
2009-03-23,cannabis,TRUE,Neutral,0
2009-03-24,cannabis,TRUE,Neutral,0
2009-03-25,cannabis,TRUE,Neutral,0
2009-03-26,cannabis,TRUE,Neutral,0
2009-03-27,cannabis,TRUE,Neutral,0
2009-03-28,cannabis,TRUE,Neutral,0
2009-03-29,cannabis,TRUE,Neutral,0
2009-03-30,cannabis,TRUE,Neutral,0
2009-03-31,cannabis,TRUE,Neutral,0
2009-04-01,cannabis,TRUE,Neutral,0
2009-04-02,cannabis,TRUE,Neutral,0
2009-04-03,cannabis,TRUE,Neutral,0
2009-04-04,cannabis,TRUE,Neutral,0
2009-04-05,cannabis,TRUE,Neutral,0
2009-04-06,cannabis,TRUE,Neutral,0
2009-04-07,cannabis,TRUE,Neutral,0
2009-04-08,cannabis,TRUE,Neutral,0
2009-04-09,cannabis,TRUE,Neutral,0
2009-04-10,cannabis,TRUE,Neutral,0
2009-04-11,cannabis,TRUE,Neutral,0
2009-04-12,cannabis,TRUE,Neutral,0
2009-04-13,cannabis,TRUE,Neutral,0
2009-04-14,cannabis,TRUE,Neutral,0
2009-04-15,cannabis,TRUE,Neutral,0
2009-04-16,cannabis,TRUE,Neutral,0
2009-04-17,cannabis,TRUE,Neutral,0
2009-04-18,cannabis,TRUE,Neutral,0
2009-04-19,cannabis,TRUE,Neutral,0
2009-04-20,cannabis,TRUE,Neutral,0
2009-04-21,cannabis,TRUE,Neutral,0
2009-04-22,cannabis,TRUE,Neutral,0
2009-04-23,cannabis,TRUE,Neutral,0
2009-04-24,cannabis,TRUE,Neutral,0
2009-04-25,cannabis,TRUE,Neutral,0
2009-04-26,cannabis,TRUE,Neutral,0
2009-04-27,cannabis,TRUE,Neutral,0
2009-04-28,cannabis,TRUE,Neutral,0
2009-04-29,cannabis,TRUE,Neutral,0
2009-04-30,cannabis,TRUE,Neutral,0
2009-05-01,cannabis,TRUE,Neutral,0
2009-05-02,cannabis,TRUE,Neutral,0
2009-05-03,cannabis,TRUE,Neutral,0
2009-05-04,cannabis,TRUE,Neutral,0
2009-05-05,cannabis,TRUE,Neutral,0
2009-05-06,cannabis,TRUE,Neutral,0
2009-05-07,cannabis,TRUE,Neutral,0
2009-05-08,cannabis,TRUE,Neutral,0
2009-05-09,cannabis,TRUE,Neutral,0
2009-05-10,cannabis,TRUE,Neutral,0
2009-05-11,cannabis,TRUE,Neutral,0
2009-05-12,cannabis,TRUE,Neutral,0
2009-05-13,cannabis,TRUE,Neutral,0
2009-05-14,cannabis,TRUE,Neutral,0
2009-05-15,cannabis,TRUE,Neutral,0
2009-05-16,cannabis,TRUE,Neutral,0
2009-05-17,cannabis,TRUE,Neutral,0
2009-05-18,cannabis,TRUE,Neutral,0
2009-05-19,cannabis,TRUE,Neutral,0
2009-05-20,cannabis,TRUE,Neutral,0
2009-05-21,cannabis,TRUE,Neutral,0
2009-05-22,cannabis,TRUE,Neutral,0
2009-05-23,cannabis,TRUE,Neutral,0
2009-05-24,cannabis,TRUE,Neutral,0
2009-05-25,cannabis,TRUE,Neutral,0
2009-05-26,cannabis,TRUE,Neutral,0
2009-05-27,cannabis,TRUE,Neutral,0
2009-05-28,cannabis,TRUE,Neutral,0
2009-05-29,cannabis,TRUE,Neutral,0
2009-05-30,cannabis,TRUE,Neutral,0
2009-05-31,cannabis,TRUE,Neutral,0
2009-06-01,cannabis,TRUE,Neutral,0
2009-06-02,cannabis,TRUE,Neutral,0
2009-06-03,cannabis,TRUE,Neutral,0
2009-06-04,cannabis,TRUE,Neutral,0
2009-06-05,cannabis,TRUE,Neutral,0
2009-06-06,cannabis,TRUE,Neutral,0
2009-06-07,cannabis,TRUE,Neutral,0
2009-06-08,cannabis,TRUE,Neutral,0
2009-06-09,cannabis,TRUE,Neutral,0
2009-06-10,cannabis,TRUE,Neutral,0
2009-06-11,cannabis,TRUE,Neutral,0
2009-06-12,cannabis,TRUE,Neutral,0
2009-06-13,cannabis,TRUE,Neutral,0
2009-06-14,cannabis,TRUE,Neutral,0
2009-06-15,cannabis,TRUE,Neutral,0
2009-06-16,cannabis,TRUE,Neutral,0
2009-06-17,cannabis,TRUE,Neutral,0
2009-06-18,cannabis,TRUE,Neutral,0
2009-06-19,cannabis,TRUE,Neutral,0
2009-06-20,cannabis,TRUE,Neutral,0
2009-06-21,cannabis,TRUE,Neutral,0
2009-06-22,cannabis,TRUE,Neutral,0
2009-06-23,cannabis,TRUE,Neutral,0
2009-06-24,cannabis,TRUE,Neutral,0
2009-06-25,cannabis,TRUE,Neutral,0
2009-06-26,cannabis,TRUE,Neutral,0
2009-06-27,cannabis,TRUE,Neutral,0
2009-06-28,cannabis,TRUE,Neutral,0
2009-06-29,cannabis,TRUE,Neutral,0
2009-06-30,cannabis,TRUE,Neutral,0
2009-07-01,cannabis,TRUE,Neutral,0
2009-07-02,cannabis,TRUE,Neutral,0
2009-07-03,cannabis,TRUE,Neutral,0
2009-07-04,cannabis,TRUE,Neutral,0
2009-07-05,cannabis,TRUE,Neutral,0
2009-07-06,cannabis,TRUE,Neutral,0
2009-07-07,cannabis,TRUE,Neutral,0
2009-07-08,cannabis,TRUE,Neutral,0
2009-07-09,cannabis,TRUE,Neutral,0
2009-07-10,cannabis,TRUE,Neutral,0
2009-07-11,cannabis,TRUE,Neutral,0
2009-07-12,cannabis,TRUE,Neutral,0
2009-07-13,cannabis,TRUE,Neutral,0
2009-07-14,cannabis,TRUE,Neutral,0
2009-07-15,cannabis,TRUE,Neutral,0
2009-07-16,cannabis,TRUE,Neutral,0
2009-07-17,cannabis,TRUE,Neutral,0
2009-07-18,cannabis,TRUE,Neutral,0
2009-07-19,cannabis,TRUE,Neutral,0
2009-07-20,cannabis,TRUE,Neutral,0
2009-07-21,cannabis,TRUE,Neutral,0
2009-07-22,cannabis,TRUE,Neutral,0
2009-07-23,cannabis,TRUE,Neutral,0
2009-07-24,cannabis,TRUE,Neutral,0
2009-07-25,cannabis,TRUE,Neutral,0
2009-07-26,cannabis,TRUE,Neutral,0
2009-07-27,cannabis,TRUE,Neutral,0
2009-07-28,cannabis,TRUE,Neutral,1
2009-07-29,cannabis,TRUE,Neutral,0
2009-07-30,cannabis,TRUE,Neutral,0
2009-07-31,cannabis,TRUE,Neutral,0
2009-08-01,cannabis,TRUE,Neutral,0
2009-08-02,cannabis,TRUE,Neutral,0
2009-08-03,cannabis,TRUE,Neutral,0
2009-08-04,cannabis,TRUE,Neutral,0
2009-08-05,cannabis,TRUE,Neutral,0
2009-08-06,cannabis,TRUE,Neutral,0
2009-08-07,cannabis,TRUE,Neutral,0
2009-08-08,cannabis,TRUE,Neutral,0
2009-08-09,cannabis,TRUE,Neutral,0
2009-08-10,cannabis,TRUE,Neutral,0
2009-08-11,cannabis,TRUE,Neutral,0
2009-08-12,cannabis,TRUE,Neutral,0
2009-08-13,cannabis,TRUE,Neutral,0
2009-08-14,cannabis,TRUE,Neutral,0
2009-08-15,cannabis,TRUE,Neutral,0
2009-08-16,cannabis,TRUE,Neutral,0
2009-08-17,cannabis,TRUE,Neutral,0
2009-08-18,cannabis,TRUE,Neutral,0
2009-08-19,cannabis,TRUE,Neutral,0
2009-08-20,cannabis,TRUE,Neutral,0
2009-08-21,cannabis,TRUE,Neutral,0
2009-08-22,cannabis,TRUE,Neutral,0
2009-08-23,cannabis,TRUE,Neutral,0
2009-08-24,cannabis,TRUE,Neutral,0
2009-08-25,cannabis,TRUE,Neutral,0
